;2;3;4;5;
[4(70.000000%)|5(40.000000%)|0(40.000000%)];8363€|86.0182%|13.9818%|-1.11022e-14%;11202€|93.6552%|6.34479%|1.38778e-14%;15003.8€|93.8836%|6.11637%|2.77556e-15%;19019.4€|89.1259%|7.87406%|3%;
[4(70.000000%)|5(40.000000%)|4(40.000000%)];8363€|88.9708%|11.0292%|8.32667e-15%;11202€|92.4665%|7.53353%|-2.77556e-15%;15003.8€|93.2939%|6.7061%|-2.77556e-15%;19019.4€|94.068%|5.932%|1.04083e-14%;
[4(70.000000%)|5(40.000000%)|5(40.000000%)];8363€|91.8251%|8.17489%|6.93889e-15%;11202€|91.3576%|8.64241%|-6.93889e-15%;15003.8€|91.3991%|8.60089%|6.93889e-15%;19019.4€|93.0398%|6.96016%|1.38778e-15%;
[4(70.000000%)|5(40.000000%)|6(40.000000%)];8363€|91.1994%|8.80063%|1.38778e-14%;11202€|92.7867%|7.2133%|5.55112e-15%;15003.8€|91.9982%|8.00183%|-1.38778e-15%;19019.4€|93.6303%|6.36966%|-1.11022e-14%;
[4(70.000000%)|6(40.000000%)|0(40.000000%)];8363€|91.6779%|8.32213%|4.16334e-15%;11202€|89.167%|10.833%|2.77556e-15%;15003.8€|92.7134%|7.28658%|1.38778e-14%;19019.4€|92.88%|7.12%|-2.77556e-15%;
[4(70.000000%)|6(40.000000%)|4(40.000000%)];8363€|90.4157%|8.5843%|1%;11202€|92.1516%|6.8484%|1%;15003.8€|92.3502%|7.6498%|-4.16334e-15%;19019.4€|93.2843%|6.71574%|-9.71445e-15%;
[4(70.000000%)|6(40.000000%)|5(40.000000%)];8363€|82.3831%|17.6169%|1.11022e-14%;11202€|88.9657%|11.0343%|6.93889e-15%;15003.8€|90.498%|7.50204%|2%;19019.4€|92.0864%|7.91362%|8.32667e-15%;
[4(70.000000%)|6(40.000000%)|6(40.000000%)];8363€|79.1185%|11.8815%|9%;11202€|92.9114%|7.08858%|8.32667e-15%;15003.8€|91.1078%|8.8922%|-9.71445e-15%;19019.4€|93.1441%|6.85587%|0%;
[5(70.000000%)|0(40.000000%)|0(40.000000%)];8363€|87.054%|12.946%|5.55112e-15%;11202€|91.4106%|8.58943%|-4.16334e-15%;15003.8€|91.9467%|8.05329%|-2.77556e-15%;19019.4€|91.1799%|8.82008%|6.93889e-15%;
[5(70.000000%)|0(40.000000%)|4(40.000000%)];8363€|84.7164%|15.2836%|-1.11022e-14%;11202€|92.8317%|7.16834%|-1.11022e-14%;15003.8€|93.094%|6.90599%|-4.16334e-15%;19019.4€|90.3095%|9.69047%|6.93889e-15%;
[5(70.000000%)|0(40.000000%)|5(40.000000%)];8363€|88.1272%|11.8728%|0%;11202€|91.9003%|8.09972%|4.16334e-15%;15003.8€|91.4275%|8.57249%|-5.55112e-15%;19019.4€|92.6706%|7.32943%|1.38778e-14%;
[5(70.000000%)|0(40.000000%)|6(40.000000%)];8363€|79.8629%|18.1371%|2%;11202€|90.1044%|9.89565%|4.16334e-15%;15003.8€|92.7124%|7.28761%|1.52656e-14%;19019.4€|90.5854%|9.41464%|-2.77556e-15%;
[5(70.000000%)|4(40.000000%)|0(40.000000%)];8363€|89.2371%|10.7629%|-4.16334e-15%;11202€|92.2956%|7.70445%|-2.77556e-15%;15003.8€|91.4302%|8.56984%|0%;19019.4€|94.1076%|5.89237%|9.02056e-15%;
[5(70.000000%)|4(40.000000%)|4(40.000000%)];8363€|92.6625%|7.33745%|-8.32667e-15%;11202€|91.5351%|8.46488%|-8.32667e-15%;15003.8€|93.7568%|6.24319%|8.32667e-15%;19019.4€|93.8952%|6.10475%|-2.08167e-15%;
[5(70.000000%)|4(40.000000%)|5(40.000000%)];8363€|89.4104%|10.5896%|0%;11202€|91.4302%|7.56977%|1%;15003.8€|94.1714%|5.82865%|4.85723e-15%;19019.4€|93.152%|6.84804%|-1.52656e-14%;
[5(70.000000%)|4(40.000000%)|6(40.000000%)];8363€|89.3823%|10.6177%|0%;11202€|93.2803%|6.71968%|-1.11022e-14%;15003.8€|93.5021%|6.49786%|6.93889e-15%;19019.4€|94.0198%|5.98019%|-2.08167e-15%;
[5(70.000000%)|5(40.000000%)|0(40.000000%)];8363€|83.2144%|9.78557%|7%;11202€|92.5363%|5.46372%|2%;15003.8€|91.2127%|8.78727%|-4.16334e-15%;19019.4€|94.2713%|5.7287%|-2.08167e-15%;
[5(70.000000%)|5(40.000000%)|4(40.000000%)];8363€|88.6824%|11.3176%|1.38778e-14%;11202€|90.9461%|8.05388%|1%;15003.8€|92.5876%|7.41239%|1.38778e-14%;19019.4€|94.5573%|5.44274%|6.93889e-16%;
