;2;3;4;5;
[0(40.000000%)|0(40.000000%)|0(40.000000%)];905€|7%|60%|33%;814.667€|0%|60%|40%;890.5€|59.8675%|36.1325%|4%;1028.2€|49.4943%|47.5057%|3%;
[0(40.000000%)|0(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|13%|60%|27%;890.5€|63.9553%|34.0447%|2%;1028.2€|80.6915%|19.3085%|-2.77556e-15%;
[0(40.000000%)|0(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|0%|60%|40%;1028.2€|37%|50.8734%|12.1266%;
[0(40.000000%)|0(40.000000%)|6(40.000000%)];905€|15%|60%|25%;814.667€|1%|60%|39%;890.5€|0%|60%|40%;1028.2€|0%|60%|40%;
[0(40.000000%)|4(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|39.1087%|47.8913%|13%;890.5€|74.4055%|24.5945%|1%;1028.2€|78.4911%|18.5089%|3%;
[0(40.000000%)|4(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|15%|60%|25%;890.5€|71.5394%|28.4606%|5.55112e-15%;1028.2€|79.4645%|16.5355%|4%;
[0(40.000000%)|4(40.000000%)|5(40.000000%)];905€|2%|60%|38%;814.667€|15%|60%|25%;890.5€|41.0037%|46.9963%|12%;1028.2€|72.8995%|24.1005%|3%;
[0(40.000000%)|4(40.000000%)|6(40.000000%)];905€|0%|60%|40%;814.667€|10%|60%|30%;890.5€|4%|60%|36%;1028.2€|0%|60%|40%;
[0(40.000000%)|5(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|10%|60%|30%;890.5€|33%|60%|7%;1028.2€|38.4889%|43.5111%|18%;
[0(40.000000%)|5(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|55.5049%|43.4951%|1%;1028.2€|81.4585%|18.5415%|1.11022e-14%;
[0(40.000000%)|5(40.000000%)|5(40.000000%)];905€|1%|60%|39%;814.667€|0%|60%|40%;890.5€|6%|60%|34%;1028.2€|44.6662%|53.3338%|2%;
[0(40.000000%)|5(40.000000%)|6(40.000000%)];905€|1%|60%|39%;814.667€|0%|60%|40%;890.5€|3%|60%|37%;1028.2€|7%|60%|33%;
[0(40.000000%)|6(40.000000%)|0(40.000000%)];905€|6%|60%|34%;814.667€|0%|60%|40%;890.5€|1%|60%|39%;1028.2€|3%|60%|37%;
[0(40.000000%)|6(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|0%|60%|40%;1028.2€|17%|60%|23%;
[0(40.000000%)|6(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|3%|60%|37%;890.5€|0%|60%|40%;1028.2€|17%|60%|23%;
[0(40.000000%)|6(40.000000%)|6(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|2%|60%|38%;1028.2€|0%|60%|40%;
[4(40.000000%)|0(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|19%|60%|21%;890.5€|60.9027%|21.0973%|18%;1028.2€|86.3397%|13.6603%|1.66533e-14%;
[4(40.000000%)|0(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|4%|60%|36%;890.5€|74.9832%|24.0168%|1%;1028.2€|75.1081%|19.8919%|5%;
[4(40.000000%)|0(40.000000%)|5(40.000000%)];905€|2%|60%|38%;814.667€|5%|60%|35%;890.5€|5%|60%|35%;1028.2€|71.8833%|28.1167%|1.66533e-14%;
[4(40.000000%)|0(40.000000%)|6(40.000000%)];905€|4%|60%|36%;814.667€|9%|60%|31%;890.5€|0%|60%|40%;1028.2€|0%|60%|40%;
[4(40.000000%)|4(40.000000%)|0(40.000000%)];905€|5%|60%|35%;814.667€|3%|60%|37%;890.5€|78.1435%|21.8565%|8.32667e-15%;1028.2€|82.6706%|17.3294%|2.77556e-15%;
[4(40.000000%)|4(40.000000%)|4(40.000000%)];905€|1%|60%|39%;814.667€|47.3464%|45.6536%|7%;890.5€|79.6466%|20.3534%|-2.77556e-15%;1028.2€|84.8633%|15.1367%|8.32667e-15%;
[4(40.000000%)|4(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|34.9567%|56.0433%|9%;890.5€|63.1046%|21.8954%|15%;1028.2€|82.183%|16.817%|1%;
[4(40.000000%)|4(40.000000%)|6(40.000000%)];905€|1.38778e-15%|60%|40%;814.667€|13%|60%|27%;890.5€|0%|60%|40%;1028.2€|54.5167%|43.4833%|2%;
[4(40.000000%)|5(40.000000%)|0(40.000000%)];905€|3%|60%|37%;814.667€|0%|60%|40%;890.5€|12%|60%|28%;1028.2€|77.8436%|22.1564%|-5.55112e-15%;
[4(40.000000%)|5(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|14%|60%|26%;890.5€|75.6863%|24.3137%|1.11022e-14%;1028.2€|77.4584%|22.5416%|1.38778e-14%;
[4(40.000000%)|5(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|42.6984%|37.3016%|20%;1028.2€|80.7174%|19.2826%|0%;
[4(40.000000%)|5(40.000000%)|6(40.000000%)];905€|0%|60%|40%;814.667€|16%|60%|24%;890.5€|23%|60%|17%;1028.2€|30.6553%|53.3447%|16%;
[4(40.000000%)|6(40.000000%)|0(40.000000%)];905€|2%|60%|38%;814.667€|0%|60%|40%;890.5€|0%|60%|40%;1028.2€|0%|60%|40%;
[4(40.000000%)|6(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|4%|60%|36%;890.5€|33.8301%|46.1699%|20%;1028.2€|0%|59.4059%|40.5941%;
[4(40.000000%)|6(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|5%|60%|35%;890.5€|51.9166%|48.0834%|1.66533e-14%;1028.2€|54.4174%|37.5826%|8%;
[4(40.000000%)|6(40.000000%)|6(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|17%|60%|23%;1028.2€|24%|60%|16%;
[5(40.000000%)|0(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|3%|60%|37%;1028.2€|0%|60%|40%;
[5(40.000000%)|0(40.000000%)|4(40.000000%)];905€|3%|60%|37%;814.667€|1%|60%|39%;890.5€|39%|60%|1%;1028.2€|63.8382%|33.1618%|3%;
[5(40.000000%)|0(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|7%|60%|33%;890.5€|7%|60%|33%;1028.2€|57.6021%|42.3979%|1.11022e-14%;
[5(40.000000%)|0(40.000000%)|6(40.000000%)];905€|1%|60%|39%;814.667€|7%|60%|33%;890.5€|6%|60%|34%;1028.2€|0%|60%|40%;
[5(40.000000%)|4(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|14%|60%|26%;890.5€|23%|57.1429%|19.8571%;1028.2€|48.9786%|30.0214%|21%;
[5(40.000000%)|4(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|33.5561%|48.4439%|18%;890.5€|76.7941%|20.2059%|3%;1028.2€|77.5304%|20.4696%|2%;
[5(40.000000%)|4(40.000000%)|5(40.000000%)];905€|10%|60%|30%;814.667€|0%|60%|40%;890.5€|80.5355%|19.4645%|-8.32667e-15%;1028.2€|75.3633%|24.6367%|2.77556e-15%;
[5(40.000000%)|4(40.000000%)|6(40.000000%)];905€|10%|60%|30%;814.667€|3%|60%|37%;890.5€|1%|60%|39%;1028.2€|38.8789%|57.1211%|4%;
[5(40.000000%)|5(40.000000%)|0(40.000000%)];905€|3%|60%|37%;814.667€|1%|60%|39%;890.5€|0%|60%|40%;1028.2€|19.4984%|46.5016%|34%;
[5(40.000000%)|5(40.000000%)|4(40.000000%)];905€|0%|60%|40%;814.667€|20%|60%|20%;890.5€|63.1326%|36.8674%|-5.55112e-15%;1028.2€|72.2411%|18.7589%|9%;
[5(40.000000%)|5(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|3%|60%|37%;890.5€|54.1229%|32.8771%|13%;1028.2€|63.4374%|26.5626%|10%;
[5(40.000000%)|5(40.000000%)|6(40.000000%)];905€|0%|60%|40%;814.667€|4%|60%|36%;890.5€|2%|60%|38%;1028.2€|3%|60%|37%;
[5(40.000000%)|6(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|0%|60%|40%;890.5€|0%|60%|40%;1028.2€|3%|60%|37%;
[5(40.000000%)|6(40.000000%)|4(40.000000%)];905€|14%|60%|26%;814.667€|8%|60%|32%;890.5€|14%|60%|26%;1028.2€|11%|60%|29%;
[5(40.000000%)|6(40.000000%)|5(40.000000%)];905€|2%|60%|38%;814.667€|0%|60%|40%;890.5€|0%|60%|40%;1028.2€|15%|60%|25%;
[5(40.000000%)|6(40.000000%)|6(40.000000%)];905€|0%|60%|40%;814.667€|1%|60%|39%;890.5€|23%|60%|17%;1028.2€|2%|60%|38%;
[6(40.000000%)|0(40.000000%)|0(40.000000%)];905€|0%|60%|40%;814.667€|7%|60%|33%;890.5€|4%|60%|36%;1028.2€|2%|60%|38%;
[6(40.000000%)|0(40.000000%)|4(40.000000%)];905€|1%|60%|39%;814.667€|0%|60%|40%;890.5€|0%|60%|40%;1028.2€|0%|60%|40%;
[6(40.000000%)|0(40.000000%)|5(40.000000%)];905€|0%|60%|40%;814.667€|8%|60%|32%;890.5€|11%|60%|29%;1028.2€|8%|60%|32%;
