;2;3;4;5;
[0(60.000000%)|0(40.000000%)|0(40.000000%)];4205.5€|71.5905%|28.4095%|-5.55112e-15%;5662€|85.6012%|14.3988%|5.55112e-15%;6995.75€|86.0209%|13.9791%|8.32667e-15%;8431.8€|88.7279%|11.2721%|1.38778e-15%;
[0(60.000000%)|0(40.000000%)|4(40.000000%)];4205.5€|65.1684%|26.8316%|8%;5662€|85.8492%|14.1508%|0%;6995.75€|91.4994%|8.50063%|9.71445e-15%;8431.8€|90.4912%|9.50879%|-1.249e-14%;
[0(60.000000%)|0(40.000000%)|5(40.000000%)];4205.5€|39.1487%|52.8513%|8%;5662€|81.8296%|18.1704%|0%;6995.75€|87.806%|10.194%|2%;8431.8€|89.9563%|10.0437%|-1.249e-14%;
[0(60.000000%)|0(40.000000%)|6(40.000000%)];4205.5€|4%|60%|36%;5662€|31.0626%|53.9374%|15%;6995.75€|69.868%|23.132%|7%;8431.8€|67.422%|28.578%|4%;
[0(60.000000%)|4(40.000000%)|0(40.000000%)];4205.5€|61.1563%|35.8437%|3%;5662€|86.5021%|13.4979%|-5.55112e-15%;6995.75€|91.7827%|8.21734%|9.71445e-15%;8431.8€|92.596%|7.40401%|1.11022e-14%;
[0(60.000000%)|4(40.000000%)|4(40.000000%)];4205.5€|68.5037%|31.4963%|1.11022e-14%;5662€|86.5881%|12.4119%|1%;6995.75€|88.6311%|11.3689%|-6.93889e-15%;8431.8€|88.4647%|11.5353%|-2.77556e-15%;
[0(60.000000%)|4(40.000000%)|5(40.000000%)];4205.5€|68.4218%|30.5782%|1%;5662€|92.1551%|7.84492%|-5.55112e-15%;6995.75€|91.2144%|6.78555%|2%;8431.8€|90.5405%|9.45946%|-6.93889e-15%;
[0(60.000000%)|4(40.000000%)|6(40.000000%)];4205.5€|17%|60%|23%;5662€|38.5639%|55.4361%|6%;6995.75€|87.9912%|12.0088%|2.77556e-15%;8431.8€|80.1067%|16.8933%|3%;
[0(60.000000%)|5(40.000000%)|0(40.000000%)];4205.5€|0%|60%|40%;5662€|85.0974%|12.9026%|2%;6995.75€|89.201%|10.799%|-2.77556e-15%;8431.8€|89.0203%|10.9797%|-4.16334e-15%;
[0(60.000000%)|5(40.000000%)|4(40.000000%)];4205.5€|54.8736%|33.1264%|12%;5662€|84.6877%|15.3123%|1.11022e-14%;6995.75€|89.6689%|7.33107%|3%;8431.8€|93.2595%|6.74053%|-5.55112e-15%;
[0(60.000000%)|5(40.000000%)|5(40.000000%)];4205.5€|20.1487%|52.8513%|27%;5662€|88.9727%|10.0273%|1%;6995.75€|87.3003%|12.6997%|-8.32667e-15%;8431.8€|90.0959%|9.90405%|1.52656e-14%;
[0(60.000000%)|5(40.000000%)|6(40.000000%)];4205.5€|0%|60%|40%;5662€|8%|60%|32%;6995.75€|61.3974%|30.6026%|8%;8431.8€|75.455%|17.545%|7%;
[0(60.000000%)|6(40.000000%)|0(40.000000%)];4205.5€|40.6521%|50.3479%|9%;5662€|0%|60%|40%;6995.75€|65.4192%|31.5808%|3%;8431.8€|45.9679%|30.0321%|24%;
[0(60.000000%)|6(40.000000%)|4(40.000000%)];4205.5€|0%|60%|40%;5662€|83.3168%|16.6832%|-5.55112e-15%;6995.75€|86.8097%|13.1903%|1.11022e-14%;8431.8€|83.1795%|16.8205%|-1.11022e-14%;
[0(60.000000%)|6(40.000000%)|5(40.000000%)];4205.5€|2%|60%|38%;5662€|51.522%|48.478%|-1.11022e-14%;6995.75€|88.9719%|11.0281%|5.55112e-15%;8431.8€|52.8742%|39.1258%|8%;
[0(60.000000%)|6(40.000000%)|6(40.000000%)];4205.5€|7%|60%|33%;5662€|0%|60%|40%;6995.75€|0%|60%|40%;8431.8€|8%|60%|32%;
[4(60.000000%)|0(40.000000%)|0(40.000000%)];4205.5€|65.4602%|34.5398%|5.55112e-15%;5662€|90.1857%|9.81427%|1.249e-14%;6995.75€|87.7591%|12.2409%|5.55112e-15%;8431.8€|92.4474%|7.55264%|1.38778e-15%;
[4(60.000000%)|0(40.000000%)|4(40.000000%)];4205.5€|51.0792%|32.9208%|16%;5662€|90.0237%|9.97633%|-1.11022e-14%;6995.75€|91.0812%|8.91881%|1.38778e-15%;8431.8€|91.176%|7.824%|1%;
