;2;3;4;5;
[0(50.000000%)|0(40.000000%)|0(40.000000%)];2119.5€|43.0882%|50.9118%|6%;2356.67€|74.0311%|25.9689%|-5.55112e-15%;2565.25€|71.2553%|13.7447%|15%;3359€|87.1205%|12.8795%|-1.38778e-14%;
[0(50.000000%)|0(40.000000%)|4(40.000000%)];2119.5€|12%|60%|28%;2356.67€|76.8287%|23.1713%|1.11022e-14%;2565.25€|73.0052%|13.9948%|13%;3359€|90.6292%|9.37077%|-9.71445e-15%;
[0(50.000000%)|0(40.000000%)|5(40.000000%)];2119.5€|2%|60%|38%;2356.67€|19%|53.3293%|27.6707%;2565.25€|77.6975%|18.3025%|4%;3359€|85.1874%|14.8126%|-2.77556e-15%;
[0(50.000000%)|0(40.000000%)|6(40.000000%)];2119.5€|0%|60%|40%;2356.67€|0%|60%|40%;2565.25€|9%|60%|31%;3359€|1%|60%|39%;
[0(50.000000%)|4(40.000000%)|0(40.000000%)];2119.5€|8%|60%|32%;2356.67€|86.6826%|13.3174%|-8.32667e-15%;2565.25€|81.6696%|18.3304%|-2.77556e-15%;3359€|85.7193%|12.2807%|2%;
[0(50.000000%)|4(40.000000%)|4(40.000000%)];2119.5€|0%|60%|40%;2356.67€|78.5212%|21.4788%|0%;2565.25€|85.9759%|14.0241%|2.77556e-15%;3359€|90.6663%|9.33372%|0%;
[0(50.000000%)|4(40.000000%)|5(40.000000%)];2119.5€|0%|60%|40%;2356.67€|78.4364%|21.5636%|-2.77556e-15%;2565.25€|83.4701%|16.5299%|-8.32667e-15%;3359€|86.5517%|11.4483%|2%;
[0(50.000000%)|4(40.000000%)|6(40.000000%)];2119.5€|0%|60%|40%;2356.67€|5%|60%|35%;2565.25€|0%|60%|40%;3359€|0%|60%|40%;
[0(50.000000%)|5(40.000000%)|0(40.000000%)];2119.5€|0%|60%|40%;2356.67€|0%|60%|40%;2565.25€|73.4239%|24.5761%|2%;3359€|86.1313%|13.8687%|-5.55112e-15%;
[0(50.000000%)|5(40.000000%)|4(40.000000%)];2119.5€|5%|60%|35%;2356.67€|47.5683%|50.4317%|2%;2565.25€|73.6981%|17.3019%|9%;3359€|71.9611%|18.0389%|10%;
[0(50.000000%)|5(40.000000%)|5(40.000000%)];2119.5€|0%|60%|40%;2356.67€|0%|60%|40%;2565.25€|78.3862%|21.6138%|-8.32667e-15%;3359€|84.4062%|13.5938%|2%;
[0(50.000000%)|5(40.000000%)|6(40.000000%)];2119.5€|0%|60%|40%;2356.67€|1%|60%|39%;2565.25€|15%|43.0621%|41.9379%;3359€|70.992%|18.008%|11%;
