;2;3;4;5;
[0(70.000000%)|0(70.000000%)|0(70.000000%)];15716€|86.3277%|11.6723%|2%;23717€|90.2216%|9.7784%|9.71445e-15%;31289€|92.951%|7.04898%|8.32667e-15%;38565€|91.7162%|8.28377%|4.16334e-15%;
[0(70.000000%)|0(70.000000%)|4(70.000000%)];15716€|82.057%|14.943%|3%;23717€|91.2436%|8.75638%|5.55112e-15%;31289€|92.8276%|7.17241%|1.11022e-14%;38565€|93.9171%|6.08294%|-1.04083e-14%;
[0(70.000000%)|0(70.000000%)|5(70.000000%)];15716€|88.7358%|10.2642%|1%;23717€|90.6336%|9.36642%|6.93889e-15%;31289€|92.2276%|6.77241%|1%;38565€|92.1304%|7.86956%|-8.32667e-15%;
[0(70.000000%)|0(70.000000%)|6(70.000000%)];15716€|88.4755%|11.5245%|2.77556e-15%;23717€|87.9245%|8.07549%|4%;31289€|91.8936%|8.10635%|-6.93889e-15%;38565€|92.4487%|7.55127%|1.52656e-14%;
[0(70.000000%)|4(70.000000%)|0(70.000000%)];15716€|84.9323%|13.0677%|2%;23717€|90.0137%|7.98625%|2%;31289€|91.4592%|8.54081%|5.55112e-15%;38565€|95.0061%|4.99395%|2.77556e-15%;
[0(70.000000%)|4(70.000000%)|4(70.000000%)];15716€|90.6548%|9.34521%|-1.38778e-14%;23717€|92.0591%|7.9409%|0%;31289€|94.1118%|5.88819%|-1.59595e-14%;38565€|93.6727%|6.32727%|-1.249e-14%;
[0(70.000000%)|4(70.000000%)|5(70.000000%)];15716€|92.2871%|7.71293%|-4.16334e-15%;23717€|90.3365%|9.66347%|-1.38778e-15%;31289€|94.6731%|5.32691%|-1.249e-14%;38565€|91.4486%|7.55143%|1%;
[0(70.000000%)|4(70.000000%)|6(70.000000%)];15716€|85.5225%|14.4775%|-2.77556e-15%;23717€|92.419%|5.58095%|2%;31289€|94.3989%|5.60109%|6.93889e-15%;38565€|89.7816%|8.21845%|2%;
[0(70.000000%)|5(70.000000%)|0(70.000000%)];15716€|86.3149%|13.6851%|2.77556e-15%;23717€|92.6212%|7.37879%|0%;31289€|91.8254%|8.17462%|2.77556e-15%;38565€|93.3409%|6.65914%|5.55112e-15%;
[0(70.000000%)|5(70.000000%)|4(70.000000%)];15716€|90.9825%|9.01749%|-8.32667e-15%;23717€|93.1353%|6.86467%|6.93889e-15%;31289€|93.7349%|6.26506%|1.249e-14%;38565€|91.4199%|8.58006%|-5.55112e-15%;
[0(70.000000%)|5(70.000000%)|5(70.000000%)];15716€|86.7937%|13.2063%|-5.55112e-15%;23717€|92.2466%|7.75344%|-1.38778e-15%;31289€|92.5445%|7.45548%|-4.16334e-15%;38565€|90.0873%|7.91271%|2%;
[0(70.000000%)|5(70.000000%)|6(70.000000%)];15716€|89.0904%|10.9096%|0%;23717€|90.3057%|9.69432%|-1.11022e-14%;31289€|93.7519%|6.24811%|-1.38778e-15%;38565€|91.7096%|8.29039%|-2.77556e-15%;
[0(70.000000%)|6(70.000000%)|0(70.000000%)];15716€|80.9972%|13.0028%|6%;23717€|81.0996%|10.9004%|8%;31289€|91.929%|8.07101%|8.32667e-15%;38565€|88.5313%|11.4687%|1.38778e-14%;
[0(70.000000%)|6(70.000000%)|4(70.000000%)];15716€|86.8045%|13.1955%|0%;23717€|94.8988%|5.1012%|-1.38778e-15%;31289€|94.3241%|5.67588%|-3.46945e-15%;38565€|94.4077%|5.59228%|2.08167e-15%;
[0(70.000000%)|6(70.000000%)|5(70.000000%)];15716€|85.0257%|11.9743%|3%;23717€|91.1144%|8.88559%|5.55112e-15%;31289€|94.8003%|5.19972%|6.93889e-15%;38565€|93.4424%|6.55762%|-6.93889e-15%;
[0(70.000000%)|6(70.000000%)|6(70.000000%)];15716€|85.966%|14.034%|-8.32667e-15%;23717€|88.3069%|11.6931%|-9.71445e-15%;31289€|91.0352%|8.96485%|-1.11022e-14%;38565€|93.0801%|6.91986%|0%;
[4(70.000000%)|0(70.000000%)|0(70.000000%)];15716€|91.6479%|8.35206%|5.55112e-15%;23717€|93.4075%|6.59248%|6.93889e-15%;31289€|94.8395%|5.16052%|1.38778e-15%;38565€|94.5585%|5.44152%|-6.93889e-15%;
[4(70.000000%)|0(70.000000%)|4(70.000000%)];15716€|84.426%|10.574%|5%;23717€|93.7066%|6.29342%|4.16334e-15%;31289€|90.0134%|9.98656%|-2.77556e-15%;38565€|93.9338%|6.06619%|1.249e-14%;
[4(70.000000%)|0(70.000000%)|5(70.000000%)];15716€|92.1226%|7.87736%|4.16334e-15%;23717€|94.6596%|5.34042%|-3.46945e-15%;31289€|93.0784%|6.92165%|1.11022e-14%;38565€|94.8668%|5.13324%|-2.77556e-15%;
[4(70.000000%)|0(70.000000%)|6(70.000000%)];15716€|89.721%|10.279%|6.93889e-15%;23717€|89.3194%|10.6806%|-5.55112e-15%;31289€|93.3085%|6.69146%|-9.71445e-15%;38565€|93.4781%|6.52194%|9.71445e-15%;
[4(70.000000%)|4(70.000000%)|0(70.000000%)];15716€|86.5654%|13.4346%|0%;23717€|90.9751%|9.02488%|-6.93889e-15%;31289€|93.2881%|6.71193%|-4.16334e-15%;38565€|88.6514%|6.34856%|5%;
