;1;2;3;4;5;
[4(70.000000%)|5(40.000000%)|6(40.000000%)];7226€|28.8889%|65.1111%|6%;3917€|35.9957%|59.0043%|5%;3551€|19.3187%|51.6813%|29%;2846.25€|25.3672%|40.6328%|34%;2200.6€|22%|43.4935%|34.5065%;
[4(70.000000%)|6(40.000000%)|0(40.000000%)];4841€|2%|31%|67%;3740.5€|6%|32%|62%;2427€|35.0931%|45.9069%|19%;2219.5€|27%|60%|13%;1717.2€|13.157%|58.843%|28%;
[4(70.000000%)|6(40.000000%)|4(40.000000%)];9189€|6.43546%|93.5645%|1.11022e-14%;4377€|36%|42%|22%;2955€|9%|56.9414%|34.0586%;2382.5€|16%|75%|9%;2158€|26%|56.6667%|17.3333%;
[4(70.000000%)|6(40.000000%)|5(40.000000%)];8220€|9%|29%|62%;4396€|3%|64%|33%;2810€|34%|55%|11%;2570€|69.4684%|7.53155%|23%;2433.2€|47.2419%|47.7581%|5%;
[4(70.000000%)|6(40.000000%)|6(40.000000%)];3880€|34.1515%|65.8485%|1.11022e-14%;4394€|43.7574%|48.2426%|8%;3470€|30%|61%|9%;2575€|35.0366%|52.9634%|12%;2000€|15%|65%|20%;
[5(70.000000%)|0(40.000000%)|0(40.000000%)];3180€|0%|78%|22%;1807.5€|14%|78%|8%;1284.33€|30%|0%|70%;838.75€|9%|36%|55%;941.8€|21%|65%|14%;
[5(70.000000%)|0(40.000000%)|4(40.000000%)];4558€|23%|38%|39%;3318€|35%|47%|18%;2410€|0%|40%|60%;1738.25€|2%|63%|35%;1802.6€|1%|49%|50%;
[5(70.000000%)|0(40.000000%)|5(40.000000%)];6070€|28.1432%|37.8568%|34%;2459.5€|34.4369%|57.5631%|8%;2102.67€|10%|40%|50%;1577€|18.8609%|81.1391%|1.11022e-14%;1390€|3%|64.7195%|32.2805%;
[5(70.000000%)|0(40.000000%)|6(40.000000%)];4799€|53.6858%|45.3142%|1%;3177€|54.4356%|33.5644%|12%;1978€|41.2391%|40.7609%|18%;1814€|50%|23%|27%;1531.6€|12.9623%|35.0377%|52%;
[5(70.000000%)|4(40.000000%)|0(40.000000%)];5704€|19%|48.3737%|32.6263%;2901€|83.1702%|16.8298%|8.32667e-15%;2249€|32.6092%|48.3908%|19%;1665€|35.8995%|54.1005%|10%;1624.4€|34%|61%|5%;
[5(70.000000%)|4(40.000000%)|4(40.000000%)];7739€|43.7465%|33.2535%|23%;4427€|21.7892%|67.2108%|11%;2635€|27%|48%|25%;2813.75€|24%|61%|15%;2202€|0%|85%|15%;
[5(70.000000%)|4(40.000000%)|5(40.000000%)];11134€|37%|45%|18%;3932€|26%|48.6677%|25.3323%;2468€|29.6974%|47.3026%|23%;2043€|51.5437%|47.4563%|1%;2013€|0%|3%|97%;
[5(70.000000%)|4(40.000000%)|6(40.000000%)];7279€|7.84314%|92.1569%|1.11022e-14%;3203.5€|23.6233%|32.3767%|44%;3543.33€|18.7843%|20.2157%|61%;2615.75€|3.57261%|71.4274%|25%;1615.6€|35.5045%|49.4955%|15%;
[5(70.000000%)|5(40.000000%)|0(40.000000%)];7381€|16%|48%|36%;2462€|55.9853%|44.0147%|1.66533e-14%;2231€|39.4754%|60.5246%|2.22045e-14%;1939.75€|9%|69%|22%;1408€|2.66337%|69.3366%|28%;
[5(70.000000%)|5(40.000000%)|4(40.000000%)];7254€|32%|35%|33%;5375€|61.8187%|35.1813%|3%;3259.33€|21.3556%|69.6444%|9%;2349.75€|29%|46%|25%;1869.2€|11%|67.5906%|21.4094%;
[5(70.000000%)|5(40.000000%)|5(40.000000%)];6323€|47.3145%|19.6855%|33%;3905€|5.13275%|43.8672%|51%;2937€|26%|50%|24%;2038€|28.9301%|51.0699%|20%;1981€|40.7068%|52.2932%|7%;
[5(70.000000%)|5(40.000000%)|6(40.000000%)];7798€|32%|19%|49%;4915€|24%|29.5529%|46.4471%;2657.33€|22.2338%|67.7662%|10%;2691€|9%|36%|55%;1784.6€|16.229%|56.771%|27%;
[5(70.000000%)|6(40.000000%)|0(40.000000%)];3455€|8%|72%|20%;3527€|0%|89.1964%|10.8036%;2905.67€|36.6645%|63.3355%|1.11022e-14%;1805€|9%|0%|91%;1741€|14%|15%|71%;
