;2;3;4;5;
[0(60.000000%)|0(50.000000%)|0(50.000000%)];5675.5€|72.7494%|27.2506%|5.55112e-15%;7356.33€|82.8217%|15.1783%|2%;9089€|84.7796%|13.2204%|2%;11439.6€|85.1083%|9.89165%|5%;
[0(60.000000%)|0(50.000000%)|4(50.000000%)];5675.5€|74.2925%|25.7075%|0%;7356.33€|89.5035%|10.4965%|0%;9089€|87.0222%|12.9778%|1.38778e-14%;11439.6€|89.0247%|10.9753%|-1.38778e-15%;
[0(60.000000%)|0(50.000000%)|5(50.000000%)];5675.5€|38.0335%|53.9665%|8%;7356.33€|86.3725%|13.6275%|-1.66533e-14%;9089€|84.9213%|11.0787%|4%;11439.6€|90.3549%|9.64507%|1.80411e-14%;
[0(60.000000%)|0(50.000000%)|6(50.000000%)];5675.5€|0%|60%|40%;7356.33€|60.4684%|39.5316%|0%;9089€|85.8939%|14.1061%|1.38778e-14%;11439.6€|77.8727%|20.1273%|2%;
[0(60.000000%)|4(50.000000%)|0(50.000000%)];5675.5€|75.6423%|24.3577%|-1.11022e-14%;7356.33€|88.2368%|11.7632%|-2.77556e-15%;9089€|92.0661%|7.93392%|-2.77556e-15%;11439.6€|88.493%|10.507%|1%;
[0(60.000000%)|4(50.000000%)|4(50.000000%)];5675.5€|66.5683%|33.4317%|0%;7356.33€|83.9017%|13.0983%|3%;9089€|92.9308%|7.06918%|0%;11439.6€|89.8174%|10.1826%|0%;
[0(60.000000%)|4(50.000000%)|5(50.000000%)];5675.5€|69.2649%|29.7351%|1%;7356.33€|87.1801%|11.8199%|1%;9089€|88.929%|10.071%|1%;11439.6€|91.9178%|8.08222%|1.52656e-14%;
[0(60.000000%)|4(50.000000%)|6(50.000000%)];5675.5€|37.6153%|48.3847%|14%;7356.33€|73.1041%|18.8959%|8%;9089€|84.5351%|12.4649%|3%;11439.6€|83.5206%|16.4794%|5.55112e-15%;
[0(60.000000%)|5(50.000000%)|0(50.000000%)];5675.5€|44.7463%|51.2537%|4%;7356.33€|85.8717%|14.1283%|1.38778e-14%;9089€|86.6554%|13.3446%|1.66533e-14%;11439.6€|89.4462%|10.5538%|-1.11022e-14%;
[0(60.000000%)|5(50.000000%)|4(50.000000%)];5675.5€|58.615%|41.385%|5.55112e-15%;7356.33€|88.933%|10.067%|1%;9089€|91.381%|8.61896%|-6.93889e-15%;11439.6€|91.6441%|8.35592%|5.55112e-15%;
[0(60.000000%)|5(50.000000%)|5(50.000000%)];5675.5€|69.5579%|30.4421%|5.55112e-15%;7356.33€|88.9996%|11.0004%|1.249e-14%;9089€|90.3625%|8.63747%|1%;11439.6€|94.0018%|5.99824%|0%;
[0(60.000000%)|5(50.000000%)|6(50.000000%)];5675.5€|0%|60%|40%;7356.33€|84.8742%|15.1258%|-5.55112e-15%;9089€|85.8146%|12.1854%|2%;11439.6€|85.072%|14.928%|1.11022e-14%;
[0(60.000000%)|6(50.000000%)|0(50.000000%)];5675.5€|4%|60%|36%;7356.33€|0%|60%|40%;9089€|73.1986%|26.8014%|1.11022e-14%;11439.6€|6%|60%|34%;
[0(60.000000%)|6(50.000000%)|4(50.000000%)];5675.5€|3%|60%|37%;7356.33€|76.3208%|17.6792%|6%;9089€|91.3687%|8.63133%|0%;11439.6€|86.7707%|11.2293%|2%;
[0(60.000000%)|6(50.000000%)|5(50.000000%)];5675.5€|24%|60%|16%;7356.33€|86.5946%|11.4054%|2%;9089€|81.047%|18.953%|0%;11439.6€|85.6383%|11.3617%|3%;
[0(60.000000%)|6(50.000000%)|6(50.000000%)];5675.5€|10%|60%|30%;7356.33€|76.194%|23.806%|-2.77556e-15%;9089€|87.5756%|12.4244%|-1.249e-14%;11439.6€|67.6325%|24.3675%|8%;
[4(60.000000%)|0(50.000000%)|0(50.000000%)];5675.5€|76.5809%|23.4191%|-8.32667e-15%;7356.33€|91.76%|8.24005%|1.11022e-14%;9089€|85.1306%|13.8694%|1%;11439.6€|89.4441%|10.5559%|6.93889e-15%;
[4(60.000000%)|0(50.000000%)|4(50.000000%)];5675.5€|76.5733%|23.4267%|0%;7356.33€|89.3124%|10.6876%|-2.77556e-15%;9089€|88.2931%|11.7069%|1.80411e-14%;11439.6€|93.0718%|6.92822%|2.77556e-15%;
[4(60.000000%)|0(50.000000%)|5(50.000000%)];5675.5€|69.2905%|29.7095%|1%;7356.33€|86.4153%|13.5847%|1.11022e-14%;9089€|90.3032%|9.69681%|1.249e-14%;11439.6€|92.1824%|7.81759%|-2.77556e-15%;
[4(60.000000%)|0(50.000000%)|6(50.000000%)];5675.5€|40.908%|43.092%|16%;7356.33€|85.9842%|14.0158%|-5.55112e-15%;9089€|88.5266%|11.4734%|8.32667e-15%;11439.6€|90.1877%|9.81227%|1.11022e-14%;
[4(60.000000%)|4(50.000000%)|0(50.000000%)];5675.5€|80.8517%|17.1483%|2%;7356.33€|83.4003%|7.59973%|9%;9089€|88.5245%|10.4755%|1%;11439.6€|91.2081%|8.79194%|-4.16334e-15%;
[4(60.000000%)|4(50.000000%)|4(50.000000%)];5675.5€|82.1179%|13.8821%|4%;7356.33€|94.4335%|5.56653%|1.45717e-14%;9089€|87.866%|12.134%|-4.16334e-15%;11439.6€|91.7682%|8.23183%|-9.71445e-15%;
[4(60.000000%)|4(50.000000%)|5(50.000000%)];5675.5€|77.3718%|19.6282%|3%;7356.33€|88.5474%|11.4526%|-1.38778e-15%;9089€|90.1696%|7.83039%|2%;11439.6€|93.6556%|6.34436%|-1.11022e-14%;
[4(60.000000%)|4(50.000000%)|6(50.000000%)];5675.5€|80.2325%|19.7675%|5.55112e-15%;7356.33€|90.5665%|9.43345%|6.93889e-15%;9089€|91.4557%|8.5443%|-4.16334e-15%;11439.6€|93.1121%|6.88794%|4.16334e-15%;
[4(60.000000%)|5(50.000000%)|0(50.000000%)];5675.5€|82.7087%|17.2913%|-1.11022e-14%;7356.33€|90.5142%|9.48575%|5.55112e-15%;9089€|90.4127%|9.58732%|-4.16334e-15%;11439.6€|90.2929%|6.70708%|3%;
[4(60.000000%)|5(50.000000%)|4(50.000000%)];5675.5€|82.9709%|15.0291%|2%;7356.33€|85.6253%|12.3747%|2%;9089€|91.5874%|8.41258%|-1.38778e-15%;11439.6€|93.6296%|6.37039%|-9.71445e-15%;
[4(60.000000%)|5(50.000000%)|5(50.000000%)];5675.5€|83.8902%|15.1098%|1%;7356.33€|87.1655%|12.8345%|5.55112e-15%;9089€|89.3964%|10.6036%|0%;11439.6€|88.6812%|10.3188%|1%;
[4(60.000000%)|5(50.000000%)|6(50.000000%)];5675.5€|83.0176%|16.9824%|-1.38778e-14%;7356.33€|85.1194%|14.8806%|5.55112e-15%;9089€|87.632%|12.368%|1.38778e-15%;11439.6€|91.0833%|8.91674%|4.16334e-15%;
[4(60.000000%)|6(50.000000%)|0(50.000000%)];5675.5€|66.388%|29.612%|4%;7356.33€|82.1681%|17.8319%|-1.11022e-14%;9089€|77.3039%|19.6961%|3%;11439.6€|92.0091%|7.99092%|4.16334e-15%;
[4(60.000000%)|6(50.000000%)|4(50.000000%)];5675.5€|74.0263%|25.9737%|5.55112e-15%;7356.33€|89.3158%|10.6842%|4.16334e-15%;9089€|85.6915%|10.3085%|4%;11439.6€|85.6642%|8.33579%|6%;
[4(60.000000%)|6(50.000000%)|5(50.000000%)];5675.5€|73.8947%|24.1053%|2%;7356.33€|89.9437%|10.0563%|-9.71445e-15%;9089€|89.9947%|10.0053%|-1.38778e-15%;11439.6€|90.582%|9.41796%|4.16334e-15%;
[4(60.000000%)|6(50.000000%)|6(50.000000%)];5675.5€|73.3313%|25.6687%|1%;7356.33€|72.96%|22.04%|5%;9089€|83.4482%|12.5518%|4%;11439.6€|90.6624%|9.33762%|9.71445e-15%;
[5(60.000000%)|0(50.000000%)|0(50.000000%)];5675.5€|13%|60%|27%;7356.33€|82.0744%|12.9256%|5%;9089€|86.8677%|13.1323%|-5.55112e-15%;11439.6€|88.2389%|9.76115%|2%;
[5(60.000000%)|0(50.000000%)|4(50.000000%)];5675.5€|80.5325%|19.4675%|-1.38778e-14%;7356.33€|91.7465%|8.25349%|1.38778e-15%;9089€|92.2241%|7.77588%|1.52656e-14%;11439.6€|92.7447%|7.25535%|-8.32667e-15%;
[5(60.000000%)|0(50.000000%)|5(50.000000%)];5675.5€|72.0884%|27.9116%|0%;7356.33€|89.9102%|10.0898%|2.77556e-15%;9089€|84.2837%|15.7163%|-1.38778e-14%;11439.6€|93.5721%|6.42794%|2.77556e-15%;
[5(60.000000%)|0(50.000000%)|6(50.000000%)];5675.5€|54.8278%|45.1722%|-5.55112e-15%;7356.33€|85.9026%|14.0974%|0%;9089€|84.1721%|15.8279%|1.38778e-14%;11439.6€|86.8055%|10.1945%|3%;
[5(60.000000%)|4(50.000000%)|0(50.000000%)];5675.5€|81.4645%|18.5355%|-1.11022e-14%;7356.33€|85.113%|12.887%|2%;9089€|92.8562%|7.14376%|4.16334e-15%;11439.6€|91.6766%|8.32344%|5.55112e-15%;
[5(60.000000%)|4(50.000000%)|4(50.000000%)];5675.5€|74.946%|22.054%|3%;7356.33€|90.2975%|9.70247%|-4.16334e-15%;9089€|93.1092%|6.89079%|1.38778e-15%;11439.6€|90.1054%|9.89458%|1.11022e-14%;
[5(60.000000%)|4(50.000000%)|5(50.000000%)];5675.5€|87.1345%|12.8655%|-5.55112e-15%;7356.33€|91.9866%|8.01343%|2.77556e-15%;9089€|91.9077%|8.09235%|-1.249e-14%;11439.6€|89.9187%|10.0813%|1.38778e-15%;
[5(60.000000%)|4(50.000000%)|6(50.000000%)];5675.5€|83.398%|16.602%|-5.55112e-15%;7356.33€|81.8054%|14.1946%|4%;9089€|89.2384%|10.7616%|4.16334e-15%;11439.6€|88.5497%|9.45027%|2%;
[5(60.000000%)|5(50.000000%)|0(50.000000%)];5675.5€|72.2179%|27.7821%|1.11022e-14%;7356.33€|84.1059%|13.8941%|2%;9089€|84.337%|9.66298%|6%;11439.6€|89.8989%|10.1011%|-4.16334e-15%;
[5(60.000000%)|5(50.000000%)|4(50.000000%)];5675.5€|79.4001%|13.5999%|7%;7356.33€|85.6881%|14.3119%|1.66533e-14%;9089€|92.2856%|7.71443%|1.11022e-14%;11439.6€|93.0262%|6.97376%|4.16334e-15%;
[5(60.000000%)|5(50.000000%)|5(50.000000%)];5675.5€|85.7142%|14.2858%|5.55112e-15%;7356.33€|90.3072%|9.69279%|2.77556e-15%;9089€|90.6649%|9.33507%|-2.77556e-15%;11439.6€|91.769%|8.23097%|8.32667e-15%;
[5(60.000000%)|5(50.000000%)|6(50.000000%)];5675.5€|78.3798%|20.6202%|1%;7356.33€|88.5623%|11.4377%|-1.38778e-15%;9089€|89.2122%|10.7878%|-6.93889e-15%;11439.6€|89.5752%|8.42483%|2%;
[5(60.000000%)|6(50.000000%)|0(50.000000%)];5675.5€|23.3299%|57.6701%|19%;7356.33€|77.908%|21.092%|1%;9089€|86.4914%|13.5086%|-5.55112e-15%;11439.6€|84.2611%|14.7389%|1%;
[5(60.000000%)|6(50.000000%)|4(50.000000%)];5675.5€|74.5122%|16.4878%|9%;7356.33€|90.174%|9.82596%|-1.38778e-15%;9089€|88.4091%|9.59089%|2%;11439.6€|92.0675%|7.93253%|-2.77556e-15%;
[5(60.000000%)|6(50.000000%)|5(50.000000%)];5675.5€|74.6794%|25.3206%|5.55112e-15%;7356.33€|87.5978%|11.4022%|1%;9089€|87.7685%|12.2315%|-1.38778e-15%;11439.6€|91.3219%|8.67807%|2.77556e-15%;
[5(60.000000%)|6(50.000000%)|6(50.000000%)];5675.5€|69.269%|26.731%|4%;7356.33€|89.8054%|10.1946%|1.249e-14%;9089€|93.0693%|6.93071%|-6.93889e-15%;11439.6€|88.3519%|11.6481%|1.38778e-15%;
[6(60.000000%)|0(50.000000%)|0(50.000000%)];5675.5€|0%|60%|40%;7356.33€|2%|60%|38%;9089€|83.4851%|16.5149%|5.55112e-15%;11439.6€|10%|52.9287%|37.0713%;
[6(60.000000%)|0(50.000000%)|4(50.000000%)];5675.5€|56.4753%|40.5247%|3%;7356.33€|82.7128%|12.2872%|5%;9089€|89.0055%|10.9945%|0%;11439.6€|86.0594%|13.9406%|1.11022e-14%;
[6(60.000000%)|0(50.000000%)|5(50.000000%)];5675.5€|38.1687%|50.8313%|11%;7356.33€|74.0818%|17.9182%|8%;9089€|82.4752%|16.5248%|1%;11439.6€|88.7918%|11.2082%|0%;
[6(60.000000%)|0(50.000000%)|6(50.000000%)];5675.5€|50.5892%|49.4108%|1.66533e-14%;7356.33€|79.4359%|20.5641%|-5.55112e-15%;9089€|87.0117%|12.9883%|-2.77556e-15%;11439.6€|82.3827%|17.6173%|-5.55112e-15%;
[6(60.000000%)|4(50.000000%)|0(50.000000%)];5675.5€|61.9883%|31.0117%|7%;7356.33€|83.6723%|15.3277%|1%;9089€|85.9412%|14.0588%|8.32667e-15%;11439.6€|85.7461%|14.2539%|1.11022e-14%;
[6(60.000000%)|4(50.000000%)|4(50.000000%)];5675.5€|72.3684%|19.6316%|8%;7356.33€|88.7665%|11.2335%|1.38778e-15%;9089€|90.8995%|9.10045%|5.55112e-15%;11439.6€|93.9384%|6.06163%|-1.04083e-14%;
[6(60.000000%)|4(50.000000%)|5(50.000000%)];5675.5€|73.6182%|24.3818%|2%;7356.33€|80.8523%|12.1477%|7%;9089€|90.0337%|9.96633%|-9.71445e-15%;11439.6€|90.4201%|9.57991%|-1.94289e-14%;
[6(60.000000%)|4(50.000000%)|6(50.000000%)];5675.5€|71.658%|28.342%|5.55112e-15%;7356.33€|80.3502%|19.6498%|-8.32667e-15%;9089€|88.6957%|11.3043%|6.93889e-15%;11439.6€|88.4627%|11.5373%|4.16334e-15%;
[6(60.000000%)|5(50.000000%)|0(50.000000%)];5675.5€|33.1765%|58.8235%|8%;7356.33€|86.0925%|13.9075%|2.77556e-15%;9089€|86.4546%|11.5454%|2%;11439.6€|88.4975%|11.5025%|-6.93889e-15%;
[6(60.000000%)|5(50.000000%)|4(50.000000%)];5675.5€|73.0956%|18.9044%|8%;7356.33€|88.2289%|11.7711%|5.55112e-15%;9089€|89.0125%|10.9875%|-2.77556e-15%;11439.6€|91.4382%|8.56181%|9.71445e-15%;
[6(60.000000%)|5(50.000000%)|5(50.000000%)];5675.5€|66.0001%|26.9999%|7%;7356.33€|92.0732%|7.9268%|2.77556e-15%;9089€|90.3521%|9.64794%|-5.55112e-15%;11439.6€|87.1627%|9.8373%|3%;
[6(60.000000%)|5(50.000000%)|6(50.000000%)];5675.5€|75.9359%|24.0641%|5.55112e-15%;7356.33€|82.3796%|14.6204%|3%;9089€|89.7257%|9.27435%|1%;11439.6€|85.4556%|7.54442%|7%;
[6(60.000000%)|6(50.000000%)|0(50.000000%)];5675.5€|41.7476%|58.2524%|0%;7356.33€|64.2945%|28.7055%|7%;9089€|85.5293%|13.4707%|1%;11439.6€|77.8682%|16.1318%|6%;
[6(60.000000%)|6(50.000000%)|4(50.000000%)];5675.5€|85.8472%|14.1528%|5.55112e-15%;7356.33€|83.8941%|10.1059%|6%;9089€|80.1221%|13.8779%|6%;11439.6€|83.3598%|13.6402%|3%;
[6(60.000000%)|6(50.000000%)|5(50.000000%)];5675.5€|87.0665%|12.9335%|-2.77556e-15%;7356.33€|86.306%|12.694%|1%;9089€|87.8448%|12.1552%|-8.32667e-15%;11439.6€|87.4261%|12.5739%|1.38778e-14%;
[6(60.000000%)|6(50.000000%)|6(50.000000%)];5675.5€|67.0831%|28.9169%|4%;7356.33€|86.5184%|13.4816%|-2.77556e-15%;9089€|81.2706%|12.7294%|6%;11439.6€|89.7099%|10.2901%|1.249e-14%;
[0(60.000000%)|0(50.000000%)];5675.5€|1%|60%|39%;7356.33€|0%|60%|40%;9089€|24%|60%|16%;11439.6€|9%|60%|31%;
[0(60.000000%)|4(50.000000%)];5675.5€|4%|60%|36%;7356.33€|55.0277%|40.9723%|4%;9089€|81.2771%|18.7229%|8.32667e-15%;11439.6€|77.6908%|22.3092%|-2.77556e-15%;
[0(60.000000%)|5(50.000000%)];5675.5€|0%|60%|40%;7356.33€|20.9567%|56.0433%|23%;9089€|66.7652%|29.2348%|4%;11439.6€|75.0337%|17.9663%|7%;
[0(60.000000%)|6(50.000000%)];5675.5€|10%|60%|30%;7356.33€|7%|60%|33%;9089€|4%|60%|36%;11439.6€|0%|60%|40%;
[4(60.000000%)|0(50.000000%)];5675.5€|2%|60%|38%;7356.33€|61.7201%|38.2799%|-1.11022e-14%;9089€|73.8031%|26.1969%|-1.11022e-14%;11439.6€|79.6305%|20.3695%|8.32667e-15%;
[4(60.000000%)|4(50.000000%)];5675.5€|13%|60%|27%;7356.33€|58.709%|25.291%|16%;9089€|83.7508%|16.2492%|1.11022e-14%;11439.6€|72.1425%|23.8575%|4%;
[4(60.000000%)|5(50.000000%)];5675.5€|31%|60%|9%;7356.33€|75.7733%|16.2267%|8%;9089€|82.3493%|17.6507%|5.55112e-15%;11439.6€|80.5177%|19.4823%|5.55112e-15%;
[4(60.000000%)|6(50.000000%)];5675.5€|6%|60%|34%;7356.33€|31.569%|47.431%|21%;9089€|59.8618%|33.1382%|7%;11439.6€|74.1547%|23.8453%|2%;
