;2;3;4;5;
[0(70.000000%)|0(60.000000%)|0(60.000000%)];12167.5€|85.165%|14.835%|-5.55112e-15%;17609€|92.2127%|7.78734%|0%;23479.5€|88.8252%|11.1748%|1.11022e-14%;28471.6€|93.2109%|6.78905%|1.66533e-14%;
[0(70.000000%)|0(60.000000%)|4(60.000000%)];12167.5€|87.1695%|12.8305%|5.55112e-15%;17609€|91.0524%|8.94761%|-6.93889e-15%;23479.5€|94.082%|5.91799%|-1.80411e-14%;28471.6€|91.1068%|8.89316%|1.38778e-15%;
[0(70.000000%)|0(60.000000%)|5(60.000000%)];12167.5€|90.6761%|9.32394%|0%;17609€|92.3188%|7.68119%|-9.71445e-15%;23479.5€|94.0178%|5.98222%|2.08167e-15%;28471.6€|93.212%|6.788%|-8.32667e-15%;
[0(70.000000%)|0(60.000000%)|6(60.000000%)];12167.5€|85.6464%|14.3536%|1.11022e-14%;17609€|89.855%|9.14505%|1%;23479.5€|83.4666%|7.53338%|9%;28471.6€|88.6425%|11.3575%|-5.55112e-15%;
[0(70.000000%)|4(60.000000%)|0(60.000000%)];12167.5€|86.9281%|13.0719%|2.77556e-15%;17609€|91.6602%|8.33977%|4.16334e-15%;23479.5€|92.6595%|7.34054%|-1.11022e-14%;28471.6€|94.5548%|5.44523%|4.16334e-15%;
[0(70.000000%)|4(60.000000%)|4(60.000000%)];12167.5€|90.4623%|9.53772%|9.71445e-15%;17609€|92.9239%|7.07607%|-8.32667e-15%;23479.5€|92.4979%|7.50206%|-6.93889e-15%;28471.6€|94.1705%|5.82952%|9.02056e-15%;
[0(70.000000%)|4(60.000000%)|5(60.000000%)];12167.5€|92.0107%|7.98928%|1.38778e-14%;17609€|90.5396%|8.46045%|1%;23479.5€|94.8873%|5.11268%|4.85723e-15%;28471.6€|92.4444%|7.55557%|-5.55112e-15%;
[0(70.000000%)|4(60.000000%)|6(60.000000%)];12167.5€|91.5274%|8.47262%|-2.77556e-15%;17609€|90.5559%|9.44413%|1.66533e-14%;23479.5€|91.5359%|8.46412%|-1.11022e-14%;28471.6€|89.4117%|9.58833%|1%;
[0(70.000000%)|5(60.000000%)|0(60.000000%)];12167.5€|83.5064%|16.4936%|-1.66533e-14%;17609€|89.528%|10.472%|4.16334e-15%;23479.5€|92.0087%|7.99131%|1.66533e-14%;28471.6€|93.1463%|6.85368%|-8.32667e-15%;
[0(70.000000%)|5(60.000000%)|4(60.000000%)];12167.5€|88.5401%|11.4599%|-2.77556e-15%;17609€|88.0503%|11.9497%|-1.38778e-15%;23479.5€|92.895%|7.10503%|6.93889e-15%;28471.6€|92.7387%|7.26126%|-5.55112e-15%;
