;2;3;4;5;
[0(60.000000%)|0(60.000000%)|0(60.000000%)];7731.5€|74.9759%|25.0241%|-5.55112e-15%;10287€|83.8563%|16.1437%|8.32667e-15%;14476.2€|91.6141%|8.38595%|1.249e-14%;18039.4€|83.2291%|8.77087%|8%;
[0(60.000000%)|0(60.000000%)|4(60.000000%)];7731.5€|81.8399%|18.1601%|1.11022e-14%;10287€|89.6022%|10.3978%|9.71445e-15%;14476.2€|82.8852%|11.1148%|6%;18039.4€|91.3159%|8.6841%|8.32667e-15%;
[0(60.000000%)|0(60.000000%)|5(60.000000%)];7731.5€|60.8328%|39.1672%|1.11022e-14%;10287€|79.1825%|12.8175%|8%;14476.2€|88.5951%|11.4049%|-9.71445e-15%;18039.4€|87.4167%|12.5833%|-8.32667e-15%;
[0(60.000000%)|0(60.000000%)|6(60.000000%)];7731.5€|0%|60%|40%;10287€|63.4512%|36.5488%|0%;14476.2€|71.5687%|28.4313%|5.55112e-15%;18039.4€|72.9663%|18.0337%|9%;
[0(60.000000%)|4(60.000000%)|0(60.000000%)];7731.5€|80.5145%|19.4855%|-8.32667e-15%;10287€|90.2791%|9.72093%|1.38778e-14%;14476.2€|91.8706%|8.12941%|9.71445e-15%;18039.4€|89.0094%|10.9906%|4.16334e-15%;
[0(60.000000%)|4(60.000000%)|4(60.000000%)];7731.5€|78.3525%|20.6475%|1%;10287€|91.5934%|8.4066%|-5.55112e-15%;14476.2€|93.1516%|6.84838%|1.249e-14%;18039.4€|87.4742%|9.52581%|3%;
[0(60.000000%)|4(60.000000%)|5(60.000000%)];7731.5€|81.9421%|18.0579%|-5.55112e-15%;10287€|83.4655%|16.5345%|8.32667e-15%;14476.2€|91.6057%|8.39427%|4.16334e-15%;18039.4€|88.376%|11.624%|5.55112e-15%;
[0(60.000000%)|4(60.000000%)|6(60.000000%)];7731.5€|79.2169%|20.7831%|5.55112e-15%;10287€|87.7734%|12.2266%|1.11022e-14%;14476.2€|86.5191%|13.4809%|1.66533e-14%;18039.4€|85.6722%|8.3278%|6%;
[0(60.000000%)|5(60.000000%)|0(60.000000%)];7731.5€|35.9989%|56.0011%|8%;10287€|74.6346%|18.3654%|7%;14476.2€|88.1168%|11.8832%|-6.93889e-15%;18039.4€|84.2685%|8.7315%|7%;
[0(60.000000%)|5(60.000000%)|4(60.000000%)];7731.5€|70.7969%|29.2031%|0%;10287€|89.0203%|10.9797%|-4.16334e-15%;14476.2€|91.3673%|8.63268%|2.77556e-15%;18039.4€|86.4254%|9.57464%|4%;
[0(60.000000%)|5(60.000000%)|5(60.000000%)];7731.5€|68.3825%|31.6175%|-5.55112e-15%;10287€|89.8954%|9.10463%|1%;14476.2€|90.9397%|9.06034%|-4.16334e-15%;18039.4€|90.2938%|9.70616%|-9.71445e-15%;
[0(60.000000%)|5(60.000000%)|6(60.000000%)];7731.5€|36.5941%|59.4059%|4%;10287€|84.4318%|15.5682%|2.77556e-15%;14476.2€|86.1472%|13.8528%|-5.55112e-15%;18039.4€|89.8121%|10.1879%|6.93889e-15%;
[0(60.000000%)|6(60.000000%)|0(60.000000%)];7731.5€|4%|60%|36%;10287€|6%|60%|34%;14476.2€|85.9369%|14.0631%|0%;18039.4€|8%|60%|32%;
[0(60.000000%)|6(60.000000%)|4(60.000000%)];7731.5€|57.2342%|26.7658%|16%;10287€|84.2533%|15.7467%|0%;14476.2€|88.7143%|11.2857%|1.38778e-15%;18039.4€|79.193%|16.807%|4%;
[0(60.000000%)|6(60.000000%)|5(60.000000%)];7731.5€|68.2663%|25.7337%|6%;10287€|82.0905%|11.9095%|6%;14476.2€|82.0061%|16.9939%|1%;18039.4€|87.3047%|12.6953%|-2.77556e-15%;
[0(60.000000%)|6(60.000000%)|6(60.000000%)];7731.5€|64.4792%|35.5208%|1.66533e-14%;10287€|81.2779%|18.7221%|-8.32667e-15%;14476.2€|75.4755%|24.5245%|8.32667e-15%;18039.4€|66.7641%|15.2359%|18%;
[4(60.000000%)|0(60.000000%)|0(60.000000%)];7731.5€|65.5033%|29.4967%|5%;10287€|87.0746%|12.9254%|2.77556e-15%;14476.2€|89.5755%|10.4245%|2.77556e-15%;18039.4€|91.7524%|8.24759%|2.77556e-15%;
[4(60.000000%)|0(60.000000%)|4(60.000000%)];7731.5€|79.2332%|20.7668%|0%;10287€|84.2936%|10.7064%|5%;14476.2€|83.7499%|9.25007%|7%;18039.4€|93.0567%|6.94335%|-6.93889e-15%;
[4(60.000000%)|0(60.000000%)|5(60.000000%)];7731.5€|70.1085%|21.8915%|8%;10287€|92.2298%|7.77018%|1.38778e-14%;14476.2€|85.565%|14.435%|5.55112e-15%;18039.4€|87.0433%|12.9567%|2.77556e-15%;
[4(60.000000%)|0(60.000000%)|6(60.000000%)];7731.5€|65.5756%|20.4244%|14%;10287€|85.9731%|14.0269%|-1.11022e-14%;14476.2€|89.9127%|10.0873%|1.38778e-15%;18039.4€|84.3071%|15.6929%|2.77556e-15%;
[4(60.000000%)|4(60.000000%)|0(60.000000%)];7731.5€|71.5501%|22.4499%|6%;10287€|87.8885%|12.1115%|-1.38778e-15%;14476.2€|90.2893%|9.71075%|0%;18039.4€|92.2507%|7.74928%|1.11022e-14%;
[4(60.000000%)|4(60.000000%)|4(60.000000%)];7731.5€|79.3051%|18.6949%|2%;10287€|91.9696%|8.03038%|1.52656e-14%;14476.2€|92.3852%|7.61479%|1.249e-14%;18039.4€|90.7399%|9.26011%|6.93889e-15%;
[4(60.000000%)|4(60.000000%)|5(60.000000%)];7731.5€|87.2003%|12.7997%|-5.55112e-15%;10287€|91.0371%|8.96285%|0%;14476.2€|89.0966%|10.9034%|-1.38778e-15%;18039.4€|93.3909%|6.60908%|-6.93889e-15%;
[4(60.000000%)|4(60.000000%)|6(60.000000%)];7731.5€|79.8226%|17.1774%|3%;10287€|85.9054%|14.0946%|1.38778e-14%;14476.2€|91.6294%|8.37057%|-9.71445e-15%;18039.4€|90.2088%|8.79124%|1%;
