;2;3;4;5;
[0(70.000000%)|0(50.000000%)|0(50.000000%)];9719€|84.1309%|14.8691%|1%;13847€|87.2445%|11.7555%|1%;17377.8€|90.9151%|8.0849%|1%;21628€|91.5203%|8.47969%|9.71445e-15%;
[0(70.000000%)|0(50.000000%)|4(50.000000%)];9719€|83.0052%|16.9948%|1.66533e-14%;13847€|91.7803%|8.21967%|6.93889e-15%;17377.8€|91.7774%|8.22257%|2.77556e-15%;21628€|90.8646%|9.13541%|-6.93889e-15%;
[0(70.000000%)|0(50.000000%)|5(50.000000%)];9719€|89.3175%|10.6825%|-2.08167e-14%;13847€|90.0589%|9.94106%|5.55112e-15%;17377.8€|89.8681%|10.1319%|-6.93889e-15%;21628€|88.1956%|6.80443%|5%;
[0(70.000000%)|0(50.000000%)|6(50.000000%)];9719€|80.5642%|19.4358%|-2.77556e-15%;13847€|88.4687%|11.5313%|0%;17377.8€|87.6697%|9.33026%|3%;21628€|84.5903%|6.40972%|9%;
[0(70.000000%)|4(50.000000%)|0(50.000000%)];9719€|91.6972%|8.30281%|1.94289e-14%;13847€|91.98%|8.02005%|2.77556e-15%;17377.8€|93.2244%|6.77561%|-5.55112e-15%;21628€|93.1702%|6.82975%|5.55112e-15%;
[0(70.000000%)|4(50.000000%)|4(50.000000%)];9719€|88.1849%|8.81513%|3%;13847€|90.5331%|9.46692%|-1.11022e-14%;17377.8€|89.0408%|8.95918%|2%;21628€|93.4246%|6.57541%|2.77556e-15%;
[0(70.000000%)|4(50.000000%)|5(50.000000%)];9719€|79.0214%|14.9786%|6%;13847€|92.1502%|7.84984%|-2.77556e-15%;17377.8€|92.2535%|6.74649%|1%;21628€|94.6332%|5.36681%|-4.85723e-15%;
[0(70.000000%)|4(50.000000%)|6(50.000000%)];9719€|76.695%|16.305%|7%;13847€|92.1621%|7.83791%|1.38778e-15%;17377.8€|91.7374%|8.26264%|-8.32667e-15%;21628€|91.1085%|8.89146%|-1.38778e-15%;
[0(70.000000%)|5(50.000000%)|0(50.000000%)];9719€|81.9232%|18.0768%|2.77556e-15%;13847€|89.1073%|10.8927%|2.77556e-15%;17377.8€|93.8612%|6.13884%|1.38778e-15%;21628€|92.187%|7.81301%|8.32667e-15%;
[0(70.000000%)|5(50.000000%)|4(50.000000%)];9719€|86.6466%|12.3534%|1%;13847€|93.7199%|6.28014%|0%;17377.8€|90.0099%|9.99011%|-6.93889e-15%;21628€|93.638%|6.362%|4.16334e-15%;
[0(70.000000%)|5(50.000000%)|5(50.000000%)];9719€|84.1115%|11.8885%|4%;13847€|93.8585%|6.14147%|4.85723e-15%;17377.8€|93.0746%|6.92544%|1.52656e-14%;21628€|92.075%|7.92504%|-5.55112e-15%;
[0(70.000000%)|5(50.000000%)|6(50.000000%)];9719€|86.3221%|13.6779%|8.32667e-15%;13847€|87.9937%|12.0063%|-1.11022e-14%;17377.8€|89.5155%|10.4845%|-9.71445e-15%;21628€|84.4402%|8.55979%|7%;
