;2;3;4;5;
[0(50.000000%)|0(50.000000%)|0(50.000000%)];3399€|28.4991%|54.5009%|17%;3625.33€|64.3369%|30.6631%|5%;4293€|78.4712%|21.5288%|1.38778e-14%;5238.4€|73.8192%|17.1808%|9%;
[0(50.000000%)|0(50.000000%)|4(50.000000%)];3399€|6%|60%|34%;3625.33€|68.4192%|24.5808%|7%;4293€|89.0876%|10.9124%|0%;5238.4€|87.7407%|12.2593%|5.55112e-15%;
[0(50.000000%)|0(50.000000%)|5(50.000000%)];3399€|0%|60%|40%;3625.33€|52.1575%|44.8425%|3%;4293€|81.4676%|16.5324%|2%;5238.4€|86.5285%|13.4715%|2.77556e-15%;
[0(50.000000%)|0(50.000000%)|6(50.000000%)];3399€|0%|60%|40%;3625.33€|0%|60%|40%;4293€|0%|60%|40%;5238.4€|0%|60%|40%;
[0(50.000000%)|4(50.000000%)|0(50.000000%)];3399€|1%|60%|39%;3625.33€|71.5288%|21.4712%|7%;4293€|88.404%|11.596%|0%;5238.4€|87.7623%|12.2377%|1.249e-14%;
[0(50.000000%)|4(50.000000%)|4(50.000000%)];3399€|0%|60%|40%;3625.33€|80.3852%|18.6148%|1%;4293€|84.6013%|15.3987%|2.77556e-15%;5238.4€|88.4475%|11.5525%|1.38778e-15%;
[0(50.000000%)|4(50.000000%)|5(50.000000%)];3399€|3%|60%|37%;3625.33€|61.9625%|30.0375%|8%;4293€|90.0794%|9.92057%|5.55112e-15%;5238.4€|88.1147%|11.8853%|8.32667e-15%;
[0(50.000000%)|4(50.000000%)|6(50.000000%)];3399€|5%|60%|35%;3625.33€|5%|60%|35%;4293€|64.9907%|29.0093%|6%;5238.4€|38%|60%|2%;
[0(50.000000%)|5(50.000000%)|0(50.000000%)];3399€|0%|60%|40%;3625.33€|23%|60%|17%;4293€|82.6102%|15.3898%|2%;5238.4€|90.4983%|9.50166%|1.38778e-14%;
[0(50.000000%)|5(50.000000%)|4(50.000000%)];3399€|20%|60%|20%;3625.33€|57.3971%|37.6029%|5%;4293€|84.0298%|15.9702%|8.32667e-15%;5238.4€|88.01%|11.99%|-5.55112e-15%;
[0(50.000000%)|5(50.000000%)|5(50.000000%)];3399€|5%|60%|35%;3625.33€|83.8277%|16.1723%|-5.55112e-15%;4293€|77.2974%|22.7026%|-5.55112e-15%;5238.4€|85.6993%|14.3007%|2.77556e-15%;
